08:45:38.991 [main] INFO  com.tyss.demo.baseutil.BaseTest - 
08:45:38.994 [main] INFO  com.tyss.demo.baseutil.BaseTest - Running locally JavaMail
08:45:39.130 [main] INFO  com.tyss.demo.baseutil.BaseTest - Folder creation for Extent
08:45:39.133 [main] INFO  com.tyss.demo.baseutil.BaseTest - ExtentDir:-D:\Demo\Demo/reports/Automation Report- 02_28_2023_08_45_39/Report/02_28_2023_08_45_39
08:45:39.253 [main] INFO  com.tyss.demo.baseutil.BaseTest - Report Initiated
08:45:39.254 [main] INFO  com.tyss.demo.baseutil.BaseTest - Screenshot Folder Created
08:46:02.707 [main] INFO  com.tyss.demo.baseutil.BaseTest - Login To the App
08:46:02.725 [main] INFO  com.tyss.demo.baseutil.BaseTest - Enter the value into User Name Text Box
08:46:03.267 [main] INFO  com.tyss.demo.baseutil.BaseTest - Enter the value into Password Text Box
08:46:03.839 [main] INFO  com.tyss.demo.baseutil.BaseTest - Verify Sign In Button is Clickable or Not
